NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
spalla a spalla;yes;a;spalla;combattere;Era per vendicarsi di una condanna ingiusta che aveva combattuto;spalla a spalla;con quegli stessi Uberti che a Campaldino militavano tra le file nemiche o quella alleanza, che soltanto pochi mesi prima gli sarebbe sembrata contro natura, aveva una più profonda e nobile giustificazione?;sg;_;_;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;e;Tutto sommato, l'Italia, partita tardi, ha recuperato, piazzandosi dietro la Germania e;spalla a spalla;con gli inglesi.;sg;_;_;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;agire;Tutti gli oranti si trovano ad agire;spalla a spalla;nel modo più disciplinato, indipendentemente da ogni considerazione di tipo mondano.;sg;_;_;juxtaposition/contact;modifier
palmo a palmo;yes;a;palmo;controllare;Ufficio che è stato controllato;palmo a palmo;.;sg;_;_;succession/iteration/distributivity;modifier
spalla a spalla;yes;a;spalla;mentre;Questi pensieri mi agitavano mentre;spalla a spalla;con i miei compagni muti attendevo i colpi di fischietto degli ufficiali per superare il parapetto e inoltrarmi in quell'orribile scabro e tormentato deserto innanzia me.;sg;_;_;juxtaposition/contact;modifier
corpo a corpo;yes;a;corpo;danza;Il killer - ballerino e le cubiste - prede erano impegnati in una danza;corpo a corpo;molto coinvolgente.;sg;_;_;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Polo;Torino, Rifondazione apre a Castellani L'ex ministro Costa corre per il Polo,;spalla a spalla;con il sindaco.;sg;_;_;juxtaposition/contact;modifier
corpo a corpo;yes;a;corpo;rapido;Inoltre l'uso giudizioso della massa corporea può rappresentare in certe situazioni un vantaggio supplementare non indifferente, per esempio negli incontri rapidi;corpo a corpo;, come nella lotta greco - romana, nel catch, nel sumo.;sg;_;_;juxtaposition/contact;modifier
mente su mente;no;su;mente;parte;"Il credersi ""separati"" in più parti (";mente su mente;"giù, corpo questo e corpo quell'altro, questo è meglio e quello è peggio) è solo il frutto d'una visione ""schizofrenica"".";sg;NsuNgiù;yes;distractor;_
punto su punto;no;su;punto;data;Punto croce ricamo una data;punto su punto; giù indico traccia di trama merletto finito.;sg;NsuNgiù;yes;distractor;_
bandiere su bandiere;no;su;bandiera;dire;"Come se ci fosse bisogno di una voce dall' alto che dica""";bandiere su bandiere;" giù"".";pl;NsuNgiù;yes;distractor;_
justin su justin;no;su;justin;là;belibers.....cazzo calmatevi fate paura....justin di qua justin di là;justin su justin;giù!;X;NsuNgiù;yes;distractor;_
volume su volume;no;su;volume;indietro;Questo è un semplice lettore con play pausa avanti indietro;volume su volume;giù.;sg;NsuNgiù;yes;distractor;_
km su km;no;su;km;poi;e non può che migliorare col tempo, poi;km su km;giù porto pazienza.;sg/pl;NsuNgiù;yes;distractor;_
mille su mille;no;su;mille;sembrare;Il prezzo è stato 8.500 che mi sembra,; mille su mille;giù in linea con quello che si vede in giro.;sg;NsuNgiù;yes;distractor;_
mani su mani;no;su;mano;fare;Anche il testo della canzone era stato scritto per essere abbastanza esplicativo e per mostrare cosa si sarebbe dovuto fare (;mani su mani;giù mani dove vuoi) ma l'immagine dei Ricchi & Poveri non era tale da poter imporre un ballo inventato di sana pianta anche perché non c'era più la moda di inventarne di nuovi per il tramite di una canzone lanciata appositamente.;pl;NsuNgiù;yes;distractor;_
periodi su periodi;no;su;periodo;avere;Tornando al banco,devo dire che i suoi dischi li amo tuttora,certo hanno avuto;periodi su periodi;ma son sempre stati più che dignitosi.;pl;NsuNgiù;yes;distractor;_
anima ad anima;no;a;anima;da;Sembrano interconnesse in una sfida infinita che si tramanda da corpo a corpo, da;anima ad anima;, da essere ad essere.;sg;PNPN;yes;distractor;_
caso a caso;no;a;caso;da;Dato che le situazioni possono essere molto diverse da;caso a caso;, si consiglia di chiedere indicazioni sulla prassi per il disconoscimento al Consultorio ad un avvocato, al Tribunale per i minorenni o al Servizio Sociale del proprio comune.;sg;PNPN;yes;distractor;_
splendore a splendore;no;a;splendore;aggiungere;Ma queste fantasie schliemanniane non fanno altro che aggiungere;splendore a splendore;.;sg;verbal;yes;distractor;_
goccia a goccia ;no;a;goccia;a;Accese uno Zippo, infiammò lo stoppino di una piccola ampolla di cherosene e cominciò a sciogliere a;goccia a goccia;una stecca di ceralacca sul cartoncino finché non si formò una pozza rosso sangue.;sg;PNPN;yes;distractor;_
libro a libro;no;a;libro;da;Insomma, un autore che sapeva descrivere senza errori da;libro a libro;la pianta della casa di Wolfe, i cibi che mangiava, le diecimila orchidee che coltivava, specie per specie, non aveva mai pensato a tenere uno schedario generale (biograficamente attendibile) dei suoi personaggi?;sg;PNPN;yes;distractor;_
gomito a gomito;no;a;gomito;a;Così ci siamo attrezzati con un nostro ufficio in un palazzo accanto, dove lavorano a;gomito a gomito;giovani avvocati italiani, albanesi e americani.;sg;PNPN;yes;distractor;_
mistero a mistero;no;a;mistero;aggiungere;Due elementi, ritornati fino a noi dalla profondità del tempo insieme a Oetzi e alle sue povere cose, forse spiegano in parte la sua fine, forse aggiungono;mistero a mistero;.;sg;verbal;yes;distractor;_
corpo a corpo;no;a;corpo;a;Un classico contemporaneo a tu per tu, o meglio a;corpo a corpo;, con l'eternità del classico.;sg;PNPN;yes;distractor;_
verde a verde;no;a;verde;aggiungere;Una grande fabbrica silenziosa con alberi che si arrampicano sulla facciata, aggiungendo;verde a verde;, colore non solo del riposo ma anche del risparmio energetico: preoccupazione prima dell'intero progetto.;sg;verbal;yes;distractor;_
canino a canino;no;a;canino;da;Non sarei troppo esigente con l'editore, basterebbe un piccolo anticipo di dodici milioni (tale è la cifra che il mio dentista esige per il nuovo ponte superiore da;canino a canino;, altrimenti, aggiungendoci qualche dente, diciotto milioni e non se ne parla più), una bella copertina blu con il mio nome scritto in bianco ed eventualmente anche il titolo del libro, e... voilà, ecco un uomo felice!;sg;PNPN;yes;distractor;_
banca a banca;no;a;banca;da;l prezzo al dettaglio (diverso da;banca a banca;), poi, va aggiunta la commissione che può variare dai 50 ai 100 punti base.;sg;PNPN;yes;distractor;_
amico ad amico;no;a;amico;da;E visto che tra noi è tutto finito, dimmelo francamente, da;amico ad amico;: dove sei stato?;sg;PNPN;yes;distractor;_
goccia a goccia ;no;a;goccia;a;Diventai come un recipiente che venga riempito a;goccia a goccia;.;sg;PNPN;yes;distractor;_
superficie a superficie;no;a;superficie;da;Per il Novecento, il record di vicinanza è già alle nostre spalle e fu stabilito il 4 gennaio 1912, quando tra la Terra e la Luna, da;superficie a superficie;, intercorsero 348.259 chilometri (e 356.375 da centro a centro dei due corpi celesti).;sg;PNPN;yes;distractor;_
casello a casello;no;a;casello;da;Masotti padre, per l'incazzatura, prese su e andò da Bologna a Taranto in tre ore da;casello a casello;, tanto che il camion si surriscaldò e arrivò a destinazione un gigantesco carico di fritto il cui odore appetitoso fu sentito in tutta la città dei due mari.;sg;PNPN;yes;distractor;_
