ID;preposition;pre_lemma;meaning;NPN;construction;syntactic_function;noun;number_of_noun;Type;other_cxn;context_pre;costr;context_post;assignment_0;assignment_1;assignment_2;assignment_3;assignment_4;split
619;a;e;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Tutto sommato, l'Italia, partita tardi, ha recuperato, piazzandosi dietro la Germania e;spalla a spalla;con gli inglesi.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
141;a;trovare;juxtaposition/contact;fronte a fronte;yes;modifier;fronte;sg;_;_;Una volta tolte di mezzo le operaie, le due regine si trovano;fronte a fronte;.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
235;a;stare;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Intorno al tavolo non c'erano abbastanza sedie per tutti e così Kenneth dovette stare;gomito a gomito;con Shirley, cosa che invero pareva non dispiacergli affatto.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
411;a;digitale;succession/iteration/distributivity;pixel a pixel;yes;modifier;pixel;sg;_;_;"""Quando si esegue la rilevazione di contorni su un'immagine con tecniche di elaborazione attualmente disponibili lo si fa in maniera digitale,";pixel a pixel;""", ha spiegato il Prof.";test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
94;a;combattimento;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento;corpo a corpo;e nelle incursioni notturne.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
586;a;pratica;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Marco andò all'unico tavolino libero, sul fondo, e quando finalmente si sedette con la schiena al muro si ritrovò in pratica;spalla a spalla;con due avventori, entrambi assorti nella lettura del giornale e quindi apparentemente disinteressati a lui.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
208;a;lavorare;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Per prima cosa ottenne un sostanzioso prestito grazieall'appoggio e alla fiducia di banchieri legati all'agente commerciale di suo padre, poi mandò i commandeurs ai canneti, a lavorare;gomito a gomito;con gli stessi uomini che prima avevano martirizzato e li rimpiazzò con altri meno depravati, ridusse i castighi e assunse un veterinario, che trascorse due mesi a Saint - Lazare cercando di restituire un po 'di salute ai neri.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
624;a;dare;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;I sondaggi ufficiali (finchè si potevano rendere pubblici) e quelli ufficiosi li danno;spalla a spalla;, con una quota tra il 25 e il 30 % dei consensi al primo turno.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
307;a;abbracciare;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;Gli indicò gli aiutanti che si tenevano abbracciati,;guancia a guancia;", con un sorriso che poteva essere umile o ironico; gli indicò tutti costoro come per presentargli un seguito impostogli da particolari circostanze, aspettandosi però - in ciò vi era una certa confidenza, ed era questa a cui egli mirava - che Barnabas distinguesse sempre bene fra lui e loro.";test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
301;a;brillantina;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;La tromba è guerresca, angelica, apocalittica, vittoriosa, suona la carica, il sassofono fa ballare bulletti di periferia coi capelli unti di brillantina,;guancia a guancia;con ragazze sudate.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
197;a;stare;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;All'alba di ieri, su quella carcassa arrivata dritta sulla spiaggia di Le Cannella una delle località di mare più belle di Isola Capo Rizzuto stavano;gomito a gomito;317 persone, per lo più curdi, pakistani e afgani.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
266;a;lavorare;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Emiliano è un pm di prima linea: è stato in Sicilia dove ha lavorato;gomito a gomito;"con Rosario Livatino, il giovane magistrato ucciso dalla mafia; poi a Brindisi dove con una serie di inchieste ha decapitato la mafia pugliese, la Sacra Corona Unita.";test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
397;a;guardare;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;Drogo lo indossò e si guardò;pezzo a pezzo;nel piccolo specchio della propria stanza.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
111;a;lotta;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;La caccia a cavallo o a piedi, la lotta;corpo a corpo;, i combattimenti dei galli erano quanto deliziava la gente e tutte queste attività si concludevano con solenni bevute.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
142;a;salone;juxtaposition/contact;fronte a fronte;yes;modifier;fronte;sg;_;_;Ed ecco allora ai due estremi del salone,;fronte a fronte;, la Trasfigurazione di Tiziano (dove l'autore discioglie in un vortice drammatico e accalorato - con il bianco fantasmatico del Cristo che si riflette sull'emergenza dei capelli bianchi e sul rubizzo colore rubensiano della testa di Pietro sul bruno sfatto e informe del corpo - il ritmo rigoroso a mandorla della parte alta del modello raffaellesco) e l'Ultima Cena di Tintoretto.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
300;a;stare;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;Me lo accosto al viso, quasi lo tocco con gli occhi, mentre Zot arriva e stiamo;guancia a guancia;a guardarlo, così vicini che i nostri respiri diventerebbero uno solo, se ci riuscisse respirare.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
290;a;venire;succession/iteration/distributivity;grado a grado;yes;modifier;grado;sg;_;_;Dormo fondo e poi vengo;grado a grado;in superficie, in una specie di ascensione inevitabile da galleggiante di sughero che sale dal fondo melmoso attraverso l'opacità che diventa via via più trasparente fino a proprio sotto il piano argentato tremolante della luce violenta.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
398;a;vicenda;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;Taglienti come affilati bisturi, ci eravamo sezionate a vicenda,;pezzo a pezzo;.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
615;a;fila;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Poi, furono costretti a fermarsi quando un contingente delle truppe di Sua Maestà Tenebrosa, in fila;spalla a spalla;, arrivò a passo di marcia lungo la strada.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
134;a;cadere;succession/iteration/distributivity;fiocco a fiocco;yes;modifier;fiocco;sg;_;_;La neve continuava a cadere,;fiocco a fiocco;a fiocco accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
598;a;Nick;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Arrivo di corsa e trovo Gabriel e Nick,;spalla a spalla;, che aspettano.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
405;a;traffico;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;"Quest'ultimo è l'aspetto più singolare del traffico """;pezzo a pezzo;""".";test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
572;a;giocare;succession/iteration/distributivity;punto a punto;yes;modifier;punto;sg;_;_;E'stata una partita intensa, vissuta a giocata;punto a punto;.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
1;a;gomito;juxtaposition/contact;anima ad anima;yes;modifier;anima;sg;_;_;Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro, gomito a gomito,;anima ad anima;, ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
121;a;combattere;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Ma anche questa volta per occupare la Città Santa devono combattere;corpo a corpo;con i palestinesi per annientare la resistenza araba.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
643;a;Sonia;juxtaposition/contact;viso a viso;yes;modifier;viso;sg;_;_;E lo dirò poi Sonia,;viso a viso;e non in presenza di paparino.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
129;a;impilare;juxtaposition/contact;dorso a dorso;yes;modifier;dorso;sg;_;_;"Vittorio scosta qualche altra grande tela appoggiata alla parete, giusto abbastanza per farmi dare un'occhiata; me ne fa vedere alcune di quelle più piccole, impilate";dorso a dorso;sul tavolo di legno grezzo.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
393;a;venire;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;Fu solo nei mesi successivi che quella barriera, ormai ridotta a monumento di una frontiera che divideva in due una metropoli e un popolo, venne;pezzo a pezzo;sbriciolata.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
229;a;spesso;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Naturalmente certi vecchi quartieri londinesi conservavano le antiche caratteristiche di grande eleganza e ricchezza, ma erano spesso;gomito a gomito;con gli slum più squallidi e più ripugnanti.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
104;a;faccia;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Scoperto difronteal proprio nemico, faccia a faccia,;corpo a corpo;, il nostro scrittore si apprestava a scrivere un'altra pagina del suo romanzo, quello della vita.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
567;a;avanti;succession/iteration/distributivity;punto a punto;yes;modifier;punto;sg;_;_;Da quel momento si va avanti;punto a punto;.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
591;a;sorgere;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Le teste giganti dei candidati sorridono a gara, e Galerio dice che sembrano mostri, mostri che sorgono;spalla a spalla;dalle viscere della terra.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
127;a;te;juxtaposition/contact;cuore a cuore;yes;modifier;cuore;sg;_;_;Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te;cuore a cuore;.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
623;a;Polo;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Torino, Rifondazione apre a Castellani L'ex ministro Costa corre per il Polo,;spalla a spalla;con il sindaco.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
618;a;schermo;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;"Se deciderete di passare un po 'di tempo davanti allo schermo """;spalla a spalla;""" con qualche bambino, scoprirete che i bambini, anche molto piccoli, hanno un rapporto naturale con il computer: un legame affettivo, che li porta immediatamente a un contatto diretto, proprio come con il fluire della lingua materna.";test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
303;a;che;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;Primo piano dei due volti - quello scuro di mio figlio e quello chiarissimo di Hans - che,;guancia a guancia;, ridono felici.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
293;a;ballare;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;E ha una canzone del cuore, la canzone che ascoltava da govane quando ballava;guancia a guancia;con Filippo di Grecia, suo futuro sposo, ora Filippo d'Edimburgo e Principe consorte.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
288;a;Dio;succession/iteration/distributivity;grado a grado;yes;modifier;grado;sg;_;_;[La scienza politica] chiarisce come scenda la rivelazione da presso Dio,;grado a grado;, fino al primo governante.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
205;a;spalla;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Ci hanno divisi per evitare problemi, perquanto era possibile, vistoche si camminava tutto il giorno spalla a spalla,;gomito a gomito;, a passi diversi, ma alla stessa velocità, e quando vivi una situazione di fatica e scomodità come quella, con poco cibo e poca acqua e nessun posto dove ripararsi e molto freddo, invece, molto, molto freddo, be', i battibecchi e le risse sono sempre dietro l'angolo, in agguato, e gli accoltellamenti anche, quindi è meglio tenere separate le etnie ostili.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
410;a;interallacciare;succession/iteration/distributivity;pixel a pixel;yes;modifier;pixel;sg;_;_;Per poter essere rilette in formato tridimensionale, le immagini devono essere scritte sullo schermo interallacciate;pixel a pixel;: la separazione ottica delle due immagini avviene a caricod elle microlenti.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
568;a;partita;succession/iteration/distributivity;punto a punto;yes;modifier;punto;sg;_;_;A sfidarlo sarà Nicolas Almagro, protagonista di un emozionante partita;punto a punto;contro il brasiliano Bellucci.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
408;a;agire;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;A questo punto, dice Picierno, «poiché, come è nello spirito della Convenizone di Istanbul, la piena uguaglianza è la chiave per prevenire la violenza, bisogna agire;pezzo a pezzo;: ad esempio adesso concentrarsi per conquistare la sulla parità salariale, che in Europa ha tutt'ora un dislivello del 16 per cento tra uomini e donne».;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
640;a;accanto;juxtaposition/contact;testa a testa;yes;modifier;testa;sg;_;_;Banga salì subito sul letto con lui, si sdraiò lì accanto,;testa a testa;, e il procuratore, con una mano sul collo dell'animale, chiuse finalmente gli occhi.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
137;a;costruire;succession/iteration/distributivity;fotogramma a fotogramma;yes;modifier;fotogramma;sg;_;_;Una mitologia personale, insomma, costruita;fotogramma a fotogramma;"ritagliandomi di netto ciò che è necessario per un Olimpo fatto in casa: un pugno di tragedie sofoclee, uomini ed eroi, martiri casuali, omicidi senza fonte e senza fine; oppure: confondendo l'universo condiviso con gli album personali: eccola una foto di mio padre tale e quale a Satta Flores in C'eravamo tanto amati.";train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
632;a;lavorare;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;E al fatto che i due abbiano lavorato;spalla a spalla;per cinque anni alla V Commissione di Bilancio (il primo come funzionario e segretario, il secondo come presidente), prima che Cabras - figlio di Paolo, a lungo parlamentare della Dc - diventasse nel 2014 capo di gabinetto di Fabrizio Saccomanni al ministero dell'Economia.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
114;a;rapido;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Inoltre l'uso giudizioso della massa corporea può rappresentare in certe situazioni un vantaggio supplementare non indifferente, per esempio negli incontri rapidi;corpo a corpo;, come nella lotta greco - romana, nel catch, nel sumo.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
216;a;Brasile;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Dal 7 al 10 maggio sono stato in Brasile,;gomito a gomito;con 10 baristi, provenienti da tutto il mondo, selezionati per partecipare a Barista & Farmer, il talent show made in Italy pensato per permettere ai baristi di andare alle origini del prodotto con cui lavora tutti i giorni e di cui è appassionato: il caffè.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
317;a;crescere;succession/iteration/distributivity;onda a onda;yes;modifier;onda;sg;_;_;Il rumore del mare continuava a coltivare e a vedere crescere,;onda a onda;, il rigoglio del suo disinteresse.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
392;a;smontare;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;La reazione degli studenti a quella che si presenta come una controriforma della scuola il cui senso principale è smontare;pezzo a pezzo;la riforma precedente è stata dapprincipio disordinata e scomposta, come si addice ai sedicenni.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
621;a;vedere;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Al congresso di Torino, abbiamo visto;spalla a spalla;le seguenti sotto - parrocchie dei Ds: ulivisti puri, miglioristi superstiti, veltroniani, dalemiani, pontieri, sinistra tenera, sinistra dura, laburisti, cristianosociali, sinistra repubblicana, comunisti unitari e, dulcis in fundo, riformatori per l'Europa.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
395;a;smontare;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;E vabbè, ma che significa, che la riforma Fornero resterà così com'è o verrà smontata;pezzo a pezzo;?;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
637;a;e;juxtaposition/contact;testa a testa;yes;modifier;testa;sg;_;_;"Lei, liberandosi, mi accarezzò la guancia; eravamo appoggiati di fianco al finestrino e,";testa a testa;, con la fronte appoggiata al vetro vedevamo correre veloci le nostre due ombre vicine, proiettate sulla campagna.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
593;a;volata;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Si profila dunque una volata;spalla a spalla;che probabilmente si concluderà con il ballottaggio del 23 ottobre prossimo.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
396;a;ricomporre;succession/iteration/distributivity;pezzo a pezzo;yes;modifier;pezzo;sg;_;_;E questa non dovrebbe essere la terra sulla quale volendo, volendo e stravolendo tutto si può fare, allora vada a inseguirsi in cielo, volenterosamente vada a ricomporsi;pezzo a pezzo;.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
224;a;folle;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;Cosí si compí il tradimento, progettato e custodito fin dall'arrivo nella città dei folli,;gomito a gomito;con loro, per oltre un anno.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
86;a;combattere;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Qualche scettico si domanderà come mai il comando americano mandi un preziosissimo marconista navajo a combattere;corpo a corpo;contro il nemico, con il rischio che lo catturino.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
259;a;sedere;juxtaposition/contact;gomito a gomito;yes;modifier;gomito;sg;_;_;L'unica cosa sopravvissuta, ma desolatamente annerita dal fumo, è la lunga serpentina di marmo in cui i viaggiatori si sedevano;gomito a gomito;per consumare un rapido pasto prima di sperdersi nella regione dei laghi a Est di New York o nelle innumerevoli cittadine incastonate lungo il fiume Hudson, dove la frenesia della città che non dorme mai, nonostante la breve distanza, sembra una cosa remota e incredibile.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
101;a;combattimento;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Tauro cercò di fermarlo: per qualche istante la sua rocciosa complessione, il suo coraggio, l'abilità nel duello e l'esperienza di mille combattimenti;corpo a corpo;parvero mettere in difficoltà il guerriero germanico.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
1535;su;metro;greater_plurality/accumulation;avversari su avversari;yes;nominal;avversario;pl;_;_;Da questo momento in poi, Beckham continuerà almeno per un'ora a divorare metri su metri,;avversari su avversari;, con una facilità che fa male al cuore.;test|yes|su|_|_;train|yes|su|_|_;train|yes|su|_|_;train|yes|su|_|_;test|yes|su|_|_;train
1682;su;vita;succession/iteration/distributivity;dettaglio su dettaglio;yes;modifier;dettaglio;sg;_;_;Eppure gli ci erano voluti dei mesi per mettere insieme il quadro della sua vita,;dettaglio su dettaglio;, dalle primissime annotazioni dell'epoca delle elementari attraverso le relazioni degli assistenti sociali finoalle inchieste di polizia e ai verbali del tribunale.;train|yes|su|_|_;train|yes|su|_|_;test|yes|su|_|_;test|yes|su|_|_;train|yes|su|_|_;train
