NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
gomito a gomito;no;a;gomito;Credo di avere già scritto su questo mio diario l'impressione che ho riportato di quella grande birreria monacense dove i bavaresi si affollano intorno a lunghe tables d'hôte,;gomito a gomito;, svergognandosi di salsicce untuose e sorbendosi boccali grandi quanto un tino, uomini e donne, le donne più ridanciane, rumorose e volgari degli uomini.;sg;_;_;juxtaposition/contact;modifier
vacche su vacche;yes;su;vacca;È suo il conio del palidromo accavallavacca (strumento per caricare;vacche su vacche;", o vacche su cavalli; vedi anche alle voci lavacavalli e vacca).";pl;thematic_target;no;distractor;_
uomo a uomo;no;a;uomo;La mamma, le gemelle e Claudia andarono in cucina, lasciando Giacomo e Cristiano al loro discorsetto da;uomo a uomo;, secondo l'usanza.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;"""Ciò indica che la trasmissione del virus è possibile anche da";uomo a uomo;""", ma in quest'ultimo caso l'efficacia del contagio è scarsa, ha precisato Margaret Chan.";sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;"Dodici fra loro, originari di Lebbeke, si erano rifugiati nella fattoria di Ottavio Vernulst; essi furono legati";corpo a corpo;e condotti dietro alla fattoria, dove vennero massacrati.;sg;_;_;juxtaposition/contact;modifier
punto su punto;no;su;punto;Proprio sotto la spinta del suo coloured, Verona ha rosicchiato così;punto su punto;agli avversari (28-31 al 17'), prima di cedere nuovamente qualcosa al riposo (30-35) anche per la serata negativa di Iuzzolino (zero punti all'intervallo, con 4 errori al tiro).;sg;_;_;succession/iteration/distributivity;modifier
autore a autore;no;a;autore;Certo, ed è persino superfluo ricordarlo, l'orchestrazione del dialogato conosce modulazioni plurime, variando da;autore a autore;, da opera a opera.;sg;PNPN;yes;distractor;_
goccia a goccia ;no;a;goccia;Come nel riempire una caraffa a;goccia a goccia;, c'è finalmente una stilla che la fa traboccare, così in una sequela di atti gentili ce n'è infine uno che fa traboccare il cuore.;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;Il killer - ballerino e le cubiste - prede erano impegnati in una danza;corpo a corpo;molto coinvolgente.;sg;_;_;juxtaposition/contact;modifier
computer a computer;yes;a;computer;Il teleshopping è un'applicazione dell'Edi, Electronic data interchange, scambio elettronico di dati da;computer a computer;senza che si ricorra mai, neppure in fase di archiviazione, a un supporto cartaceo.;sg;PNPN;yes;distractor;_
volta a volta;no;a;volta;Ma quella virtualità che connota la realtà televisiva e rende la tv,;volta a volta;, spettacolare, ingannatrice, sedativa, omologante, esorcizzante, evasiva, legittimante, vicaria, è anche dovuta alla nostra virtualità crescente.;sg;_;_;succession/iteration/distributivity;modifier
mille su mille;no;su;mille;Il prezzo è stato 8.500 che mi sembra,; mille su mille;giù in linea con quello che si vede in giro.;sg;NsuNgiù;yes;distractor;_
generazioni su generazioni;yes;su;generazione;Nei paesi in passato il parroco rimaneva nello stesso posto anche quaranta - cinquanta anni e battezzava;generazioni su generazioni;, oggi in una realtà in continuo cambiamento, questo fatto non è accettabile, pur riconoscendo che occorre un certo numero di anni per realizzare un progetto o per stabilire un rapporto profondo.;pl;_;_;greater_plurality/accumulation;nominal
sovrano a sovrano;yes;a;sovrano;L'esito dello scontro è stato quello che gli dei hanno deciso, ma mi rivolgo a te da;sovrano a sovrano;affinché tu liberi i miei figli, mia madre e la mia sposa.;sg;PNPN;yes;distractor;_
guancia a guancia;no;a;guancia;Nel bridge, esattamente a 1 e 42 secondi primi, la canzone diventa un recitativo, cito letteralmente: Su, vieni più vicino, lasciati andare, è bello stare;guancia a guancia;, no?;sg;_;_;juxtaposition/contact;modifier
punto su punto;no;su;punto;Il quale cade dalla nuvole, e replica;punto su punto;: È vero che la convocazione del notaio non è stata fatta per iscritto, bensì per telefono.;sg;_;_;succession/iteration/distributivity;modifier
guancia a guancia;no;a;guancia;Stemmo a lungo insieme, così,;guancia a guancia;.;sg;_;_;juxtaposition/contact;modifier
goccia a goccia ;no;a;goccia;Il giardiniere versò il latte a;goccia a goccia;ai piedi dell'albero fino a che sorse il sole.;sg;PNPN;yes;distractor;_
fogli su fogli;no;su;foglio;Abbiamo passato un pomeriggio intero, io e Fabio, in quel negozio in centro, con la commessa appresso che compilava;fogli su fogli;.;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;no;a;uomo;Inoltre la situazione degli xenotrapianti oggi è vista esattamente come i trapianti da;uomo a uomo;erano considerati all'inizio degli Anni Sessanta, quando eravamo davvero in pochi a crederci.;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;Nella tradizione cristiana, durante i giorni di Pasqua si legge un versetto in latino che dice in modo mirabile che la vita e la morte combattono;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
guancia a guancia;no;a;guancia;Lei e Nina sono ancora sotto la coperta, sedute vicine, quasi;guancia a guancia;, ma non si guardano.;sg;_;_;juxtaposition/contact;modifier
settore a settore;no;a;settore;Pur con qualche differenza da;settore a settore;il tecnico commerciale, del marketing e delle vendite è segnalato come una figura in forte espansione in tutti i settori industriali e in tutte le regioni del Nord: le richieste maggiori si registrano nella chimica e nella meccanica mentre più debole si presenta nell'elettronica.;sg;PNPN;yes;distractor;_
testa a testa;yes;a;testa;I primi e gli ultimi della scuola europea restano a;testa a testa;anche al terzo problema sull'intricata questione delle proporzioni fisiche di Paolo, Pietro e Maria, risolta brillantemente come un quiz enigmistico.;sg;PNPN;yes;distractor;_
settore a settore;no;a;settore;Il rapporto prezzo utili varia significativamente da;settore a settore;e, spesso, da azienda ad azienda, inquanto ogni azienda si caratterizza con proprie condizioni di rischio.;sg;PNPN;yes;distractor;_
mistero a mistero;yes;a;mistero;"Nel comunicato con cui annuncia l'operazione, infatti, Interbanca sottolinea che la società ""fa riferimento a un medio gruppo industriale italiano"", mantenendo segreto il suo nome e aggiungendo";mistero a mistero;.;sg;verbal;yes;distractor;_
gomito a gomito;no;a;gomito;All'alba di ieri, su quella carcassa arrivata dritta sulla spiaggia di Le Cannella una delle località di mare più belle di Isola Capo Rizzuto stavano;gomito a gomito;317 persone, per lo più curdi, pakistani e afgani.;sg;_;_;juxtaposition/contact;modifier
guancia a guancia;no;a;guancia;E ha una canzone del cuore, la canzone che ascoltava da govane quando ballava;guancia a guancia;con Filippo di Grecia, suo futuro sposo, ora Filippo d'Edimburgo e Principe consorte.;sg;_;_;juxtaposition/contact;modifier
uomo a uomo;no;a;uomo;Il contagio è solo interumano, vale a dire che la varicella si trasmette solo da;uomo a uomo;e non da animale ad uomo.;sg;PNPN;yes;distractor;_
grado a grado;no;a;grado;Onde (suggeriva oltre cent'anni fa Leopardi) la risposta a una forzatura con un ritorno all'indietro, che a;grado a grado;conduca a transizioni e risultati effettivi, non apparenti e superficiali.;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;I due fratelli si scontrarono accanitamente;corpo a corpo;e morirono entrambi.;sg;_;_;juxtaposition/contact;modifier
granellino su granellino;yes;su;granellino;E non meno sorprendente è la tecnica costruttiva della formica - bussola australiana (Amitermes meridionalis) i cui operai ciechi sanno deporre il materiale edilizio,;granellino su granellino;, in modo tale che il risultato sia un nido cuneiforme con l'asse maggiore orientato rigorosamente in direzione Nord - Sud.;sg;_;_;succession/iteration/distributivity;modifier
strato su strato;yes;su;strato;Cominciai a sbollentare le lasagne e a disporle nella teglia;strato su strato;, ma se avessi potuto distogliere Melchor dal suo gaydar.com gli avrei dato i soldi e gli avrei chiesto di andare a comperarmene una nuova di ghisa.;sg;_;_;succession/iteration/distributivity;modifier
goccia a goccia ;no;a;goccia;Ufficialmente non c'è nè soddisfazione nè rammarico, nelle file dello stato maggiore di Alleanza nazionale, in questa serata elettorale in cui dati giungono a;goccia a goccia;, prima ancora degli exit poll ufficiali, confermando che al Nord il Polo va forte.;sg;PNPN;yes;distractor;_
goccia a goccia ;no;a;goccia;Quella donna fu sottoposta alla tortura dell'acqua: ne dovette ingurgitare litri e litri, a;goccia a goccia;, attraverso una pezzuola ficcata in gola, fin quasi a morirne soffocata…;sg;PNPN;yes;distractor;_
generazioni su generazioni;yes;su;generazione;La passione dichiarata è una sola: disseppellire e filtrare leggende di isole mai esistite o trasfigurate o disperse che tuttavia avevano influenzato;generazioni su generazioni;di navigatori portoghesi spagnoli inglesi, e popolato le loro mappe.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Nel frattempo, i macedoni rinchiusi nella cittadella fecero una sortita e presero alle spalle i guerrieri avversari che si battevano;corpo a corpo;, nelle vie strette e tortuose, davanti alle loro stesse case.;sg;_;_;juxtaposition/contact;modifier
gomito a gomito;no;a;gomito;Il podestà si era lungamente preparato a sostenere la parte: avrebbe dovuto passare tutta una giornata;gomito a gomito;con la sua antica morosa e con l'altrettanto antico timoniere che gliel'aveva soffiata.;sg;_;_;juxtaposition/contact;modifier
righe su righe;no;su;riga;Dal vuoto, come fiocchi d'una neve cibernetica, scendono lievi quelle tremende figurine geometriche, e io le incastro una con l'altra, le ghiaccio su spianate inesorabili, sommo;righe su righe;: quindi aumento la velocità, sempre dipiù, sempre dipiù, fino al massimo consentito: ormai è una grandinata irrefrenabile.;pl;_;_;greater_plurality/accumulation;nominal
fogli su fogli;no;su;foglio;Un rumore molto forte, comese qualcuno fosse stato impegnato a strappare;fogli su fogli;di lamiera dal centro della macchina.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Scoperto difronteal proprio nemico, faccia a faccia,;corpo a corpo;, il nostro scrittore si apprestava a scrivere un'altra pagina del suo romanzo, quello della vita.;sg;_;_;juxtaposition/contact;modifier
casello a casello;no;a;casello;Masotti padre, per l'incazzatura, prese su e andò da Bologna a Taranto in tre ore da;casello a casello;, tanto che il camion si surriscaldò e arrivò a destinazione un gigantesco carico di fritto il cui odore appetitoso fu sentito in tutta la città dei due mari.;sg;PNPN;yes;distractor;_
grado a grado;no;a;grado;Il grande globo giallo - arancio salì - in alto, ancora più in alto - e rimase sospeso sul mare increspato, illuminando a;grado a grado;"i loro volti: Deoris, un'apparizione spettrale ritagliata nell'oscurità; Domaris, pallida sotto il cappuccio della veste color ghiaccio; Rajasta, una macchia luminosa accanto alla ringhiera; Riveda, un pilastro di tenebre stagliato contro il chiaro di luna.";sg;PNPN;yes;distractor;_
memoria su memoria;no;su;memoria;Se voi mi chiedete come ciò possa essere -;memoria su memoria;, nient'altro che memoria - io ovviamente non so rispondere, e non perché non esistano «io» e «voi», non più di quanto esistano «qui» e «ora», ma perché l'unica cosa che esiste è il passato ricordato, non ritrovato e - attenzione alla differenza - non rivissuto nell'immediatezza del regno sensoriale, ma semplicemente ritrasmesso.;sg;_;_;succession/iteration/distributivity;modifier
record su record;yes;su;record;Ma in questi anni va così,;record su record;.;sg/pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;"Sto rollando verso di te, balena, tu che tutto distruggi e nulla conquisti; fino all'ultimo lotto con te";corpo a corpo;", e dal cuore dell'inferno ti pugnalo; in nome dell'odio ti sputo addosso l'estremo respiro.";sg;_;_;juxtaposition/contact;modifier
gomito a gomito;no;a;gomito;Così a parità di lavoro svolto, collaboriamo;gomito a gomito;con colleghi che usufruiscono di notevoli incentivi economici.;sg;_;_;juxtaposition/contact;modifier
uomo a uomo;no;a;uomo;Essi non possono più guardare negli occhi un altro, da;uomo a uomo;"; possono invece infondere in un altro la forza di divenire ""più"" di loro.";sg;PNPN;yes;distractor;_
24 su 24;no;su;24;Tale contenitore poi, grazie alla tecnologia e software di ultima generazione, è disponibile;24 su 24;online e aggiornato in tempo reale, permettendo così ai potenziali clienti di visionare gli immobili direttamente da casa o ufficio, e ai collaboratori del gruppo sparsi in Italia o all' estero di consultare e fornire proposte svincolate dal limite della territorialità di competenza.;X;NumPNum;no;distractor;_
scherzi su scherzi;no;su;scherzo;L'anarchico Chaplin aveva imparato a sbeffeggiare i nemici (e anche gli amici) inanellando;scherzi su scherzi;.;pl;_;_;greater_plurality/accumulation;nominal
guancia a guancia;no;a;guancia;Gli indicò gli aiutanti che si tenevano abbracciati,;guancia a guancia;", con un sorriso che poteva essere umile o ironico; gli indicò tutti costoro come per presentargli un seguito impostogli da particolari circostanze, aspettandosi però - in ciò vi era una certa confidenza, ed era questa a cui egli mirava - che Barnabas distinguesse sempre bene fra lui e loro.";sg;_;_;juxtaposition/contact;modifier
interessi su interessi;yes;su;interesse;Deve escludersi l'obbligo di corresponsione di;interessi su interessi;(cosiddetto anatocismo ex articolo 1283 del codice civile) a fronte della ritardata esecuzione di un rimborso Iva da parte dell'amministrazione finanziaria.;pl;_;_;greater_plurality/accumulation;nominal
utilitarie su utilitarie;yes;su;utilitaria;Eppure, il sito siciliano era una volta il cuore pulsante del settore automobilistico italiano, con lo stabilimento che sfornava;utilitarie su utilitarie;- dalla leggendaria 500 degli anni settanta alla Panda - finoallo stop comunicato dal Lingotto nel 2009 e imposto nel 2011.;pl;_;_;greater_plurality/accumulation;nominal
settore a settore;no;a;settore;La velocità di diffusione e la profondità di tale processo di cambiamento potrà forse variare da realtà a realtà, da;settore a settore;, da Paese a Paese.;sg;PNPN;yes;distractor;_
indizi su indizi;no;su;indizio;Gli inquirenti romani stanno affastellando;indizi su indizi;, controlli, visure camerali, che confermerebbero l'ascesa delle 'ndrine in questo angolo esclusivo di Roma Nord.;pl;_;_;greater_plurality/accumulation;nominal
competizione a competizione;no;a;competizione;È importante comunque leggere i vari regolamenti che possono variare da;competizione a competizione;.;sg;PNPN;yes;distractor;_
norme su norme;yes;su;norma;Si dimentica degli arricchimenti dei burocrati che, con;norme su norme;ad personam, hanno dissanguato le casse dello Stato.;pl;_;_;greater_plurality/accumulation;nominal
guancia a guancia;no;a;guancia;Vide ancora come i signori vicino al suo viso, accostati;guancia a guancia;, osservavano l'esito.;sg;_;_;juxtaposition/contact;modifier
elemento a elemento;no;a;elemento;La concentrazione, a cui una sostanza provoca inquinamento, varia molto da;elemento a elemento;: pochi miliardesimi di grammo (nanogrammi) per metro cubo di aria di benzopirene provocano un danno maggiore di una decina di milligrammi per metro cubo di ossido di carbonio.;sg;PNPN;yes;distractor;_
pile su pile;no;su;pile;Io volavo alle casse, Pabs disimballava, registrava, smistava e scaricava sudi me;pile su pile;di CD a velocità supersonica.;pl;_;_;greater_plurality/accumulation;nominal
anticorpo ad anticorpo;no;a;anticorpo;Questa zona della molecola differisce da;anticorpo ad anticorpo;, determina la specificità della molecola anticorpale e viene definita paratopo o idiotipo.;sg;PNPN;yes;distractor;_
volta a volta;no;a;volta;Ognuna delle due diverse soluzioni presenta vantaggi e limiti: nella prima ipotesi può essere più agevolmente perseguita una politica criminale che concentri;volta a volta;"i propri obbiettivi sui fatti ritenuti più importanti, trascurando gli altri; nella seconda è più agevole assicurare che non si sottraggano al codice penale quanti hanno la possibilità di influire sulle scelte politiche.";sg;_;_;succession/iteration/distributivity;modifier
moduli su moduli;yes;su;modulo;La biblioteca, ad esempio: è sempre aperta, non bisogna compilare;moduli su moduli;, ti danno subito gli spartiti in prestito…;pl;_;_;greater_plurality/accumulation;nominal
119 su 119;yes;su;119;Attivate al 100 % le procedure di bonifica per i siti inquinati a breve termine, in tutto;119 su 119;, e al 58 % quelle per i 146 siti a medio termine, mentre per i 60 siti di piano definiti ' in approfondimentò (considerati a medio termine nell' attesa della definitiva classificazione nell' ambito dell' approvazione dei Piani Provinciali), tale percentuale scende al 32 %.;X;NumPNum;no;distractor;_
soldi su soldi;no;su;soldi;Il meccanismo adottato in Francia per convincere i cittadini della ineluttabilità del nucleare è lo stesso adottato di recente in Italia: balle su balle raccontate da venduti e;soldi su soldi;per la pubblicità e per foraggiare i giornali.;pl;_;_;greater_plurality/accumulation;nominal
volta a volta;no;a;volta;D'altro canto, non sono soltanto gli interventi normativi, tanto meno quelli che continuino a essere adottati, prima o a prescindere da effettive applicazioni delle soluzioni;volta a volta;accolte, a poter dare risposta alle necessità dell'amministrazione del settore.;sg;_;_;succession/iteration/distributivity;modifier
pietra su pietra;yes;su;pietra;I monaci hanno progettato e costruito;pietra su pietra;, cattedrali e monasteri.;sg;_;_;succession/iteration/distributivity;modifier
chiacchiere su chiacchiere;no;su;chiacchiera;«Ecco le due che spettegolano al buio!» esclamò la signorina Lydia , «;chiacchiere su chiacchiere;, nell 'oscurità.»;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;no;a;uomo;Vi segnaliamo anche l'accusa pesantissima dell'animatore del sito pacifista Peacelink, Alessandro Marescotti, ai tecnici che si sono resi conniventi della truffa del baco del millennio: un confronto da;uomo a uomo;nella rubrica Delfino.;sg;PNPN;yes;distractor;_
tappa su tappa;no;su;tappa;Carica sulla Mercedes il figlio e la ex moglie, si ferma nei migliori alberghi lungo il tragitto, attraversa la Penisola Iberica aggiungendo;tappa su tappa;"di un itinerario ""turistico"": Malaga, Costa del Sol, Alicante.";sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;Nell'economia del risultato a pesare è anche il comparto visivo perché, alla routine degli scontri;corpo a corpo;", Watts ci riserva sorprese quando si tratta di mettere in scena il potere illusionistico di Mysterio in una serie di sequenze da far girare la testa allo spettatore, per il gioco di specchi in cui la realtà fa a gara a smentire se stessa manco ci trovassimo nella sequenza finale de ""La signora di Shangai"" di Orson Welles.";sg;_;_;juxtaposition/contact;modifier
punto su punto;no;su;punto;Accornero è pronto a ribattere;punto su punto;.;sg;_;_;succession/iteration/distributivity;modifier
verbali su verbali;yes;su;verbale;Un uomo dalla finestra di casa osserva i pizzardoni mentre elevano;verbali su verbali;.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Inoltre l'uso giudizioso della massa corporea può rappresentare in certe situazioni un vantaggio supplementare non indifferente, per esempio negli incontri rapidi;corpo a corpo;, come nella lotta greco - romana, nel catch, nel sumo.;sg;_;_;juxtaposition/contact;modifier
Arezzo su Arezzo;yes;su;Arezzo;La posizione del Comune di;Arezzo su Arezzo;Fiere è chiarissima.;X;proper_name_inglobation;no;distractor;_
mistero a mistero;yes;a;mistero;Due elementi, ritornati fino a noi dalla profondità del tempo insieme a Oetzi e alle sue povere cose, forse spiegano in parte la sua fine, forse aggiungono;mistero a mistero;.;sg;verbal;yes;distractor;_
corpo a corpo;yes;a;corpo;I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento;corpo a corpo;e nelle incursioni notturne.;sg;_;_;juxtaposition/contact;modifier
goccia a goccia ;no;a;goccia;Questo verme si nutre del sangue umano, che si procura facendo piccolissimi fori nella mucosa dell'intestino, da cui lascia colare il sangue a;goccia a goccia;, per giorni e giorni, per anni e anni.;sg;PNPN;yes;distractor;_
fogli su fogli;no;su;foglio;Non facevo altro che togliere;fogli su fogli;di giornali sporchi di merda dalla sua gabbia.;pl;_;_;greater_plurality/accumulation;nominal
Roma su Roma;yes;su;Roma;Equiparata ai docenti che si spostano;Roma su Roma;come sembra dall' articolo 25 del contratto nazionale di mobilità? ;X;thematic_target;no;distractor;_
libro a libro;yes;a;libro;Il Corpus Hermeticum, essendo una compilazione, contiene idee che spesso si contraddicono da;libro a libro;.;sg;PNPN;yes;distractor;_
punti su punti;no;su;punto;L'Eroe e per questo lo proclamiamo tale affronta ogni cimento quando gli si presenta, e accumula;punti su punti;.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Non gli restava che il combattimento;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
uomo a uomo;no;a;uomo;Questa doppia infezione potrebbe creare un virus nuovo, trasmissibile da;uomo a uomo;.;sg;PNPN;yes;distractor;_
gomito a gomito;no;a;gomito;Lavorare durante l'estate, tra giostre, montagne russe e castelli incantati,;gomito a gomito;con i personaggi delle fiabe e con migliaia di turisti, grandi e piccini.;sg;_;_;juxtaposition/contact;modifier
10 su 10;no;su;10;"E mentre Berlusconi si assegna un """;10 su 10;""", "" gli analisti affermano che il governo ha sprecato il suo primo anno "".";X;NumPNum;no;distractor;_
aria su aria;yes;su;aria;Il ventilatore non vale niente, muove;aria su aria;, sempre la stessa.;sg;_;_;greater_plurality/accumulation;nominal
progetti su progetti;yes;su;progetto;Lei continua a girare il mondo e a sfornare;progetti su progetti;.;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;no;a;uomo;"""È solo una questione di tempo"", secondo Webster, e il virus H5N1, prima o poi, farà il salto della specie, propagandosi da";uomo a uomo;.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;Segreti, appunto, che erano da sempre tramandati da;uomo a uomo;, da adulto a giovane, da maestro a discepolo.;sg;PNPN;yes;distractor;_
immagine a immagine;yes;a;immagine;Mi interessava l'espressione di molti invitati, che passavano da;immagine a immagine;con aria di reverenza, e commozione.;sg;PNPN;yes;distractor;_
piste su piste;yes;su;pista;Quassù, vale la pena ricordarlo, non ci sono però caroselli per il circo invernale, neppure;piste su piste;, seggiovie e skilift che si inseguono tagliando a fette boschi e spianando pendii.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Pare abbia ucciso di sua mano un ribelle della tribù dei cadusi in un duello;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
sbagli su sbagli;yes;su;sbaglio;Aveva sempre permesso che loro ne approfittassero – una masochistica consapevolezza che la portava a collezionare;sbagli su sbagli;.;pl;_;_;greater_plurality/accumulation;nominal
tempia a tempia;yes;a;tempia;Dalla pelata gli scivolano giù delle goccioline minuscole di sudore, vanno a morire sulle sopracciglia folte che lo attraversano da;tempia a tempia;come una grossa parentesi tonda.;sg;PNPN;yes;distractor;_
pezzo a pezzo;no;a;pezzo;E il vaso se ne va,;pezzo a pezzo;.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;Ciò non sembra sufficiente per rispondere in modo adeguato a quanto mostrato dagli studi di storia della scienza: ovvero che gli scienziati non si comportano affatto secondo gli standard metodologici;volta a volta;avanzati.;sg;_;_;succession/iteration/distributivity;modifier
goccia a goccia ;no;a;goccia;Per trasformare la nebbia in una sorgente naturale di acqua, bisogna distillarla a;goccia a goccia;come il più prezioso dei whisky.;sg;PNPN;yes;distractor;_
materia su materia;no;su;materia;Cazzetti, fichette, zinnette, culetti sodi esplodono su di me in una cosmogonia di;materia su materia;.;sg;_;_;greater_plurality/accumulation;nominal
grado a grado;no;a;grado;A lungo Domaris rimase immobile davanti alla porta chiusa, mentre la pietà nei suoi occhi a;grado a grado;svaniva, sostituita dal timore.;sg;PNPN;yes;distractor;_
TV su TV;no;su;TV;Tutta la cerimonia finale verrá trasmessa in diretta;TV su TV;3 dalle 18.40 alle 20.15 e su TV 1 e TV 2 dalle 19.30 alle 20.00.;sg;proper_name_inglobation;no;distractor;_
denunce su denunce;no;su;denuncia;Così come gli ingegneri e i geometri che lavorano per noi: anche tra loro, più d'uno ha subito il mio stesso trattamento,;denunce su denunce;.;pl;_;_;greater_plurality/accumulation;nominal
guancia a guancia;no;a;guancia;Certo che me ne aveva raccontate di cose, e ricordo benissimo che, durante quei quattro giorni si può dire;guancia a guancia;, a ogni nuova confidenza mi si raddoppiavano i brividi lungo la schiena: perché si fidava tanto, perché si era fidata incondizionatamente di me?;sg;_;_;juxtaposition/contact;modifier
gomito a gomito;no;a;gomito;L'unica cosa sopravvissuta, ma desolatamente annerita dal fumo, è la lunga serpentina di marmo in cui i viaggiatori si sedevano;gomito a gomito;per consumare un rapido pasto prima di sperdersi nella regione dei laghi a Est di New York o nelle innumerevoli cittadine incastonate lungo il fiume Hudson, dove la frenesia della città che non dorme mai, nonostante la breve distanza, sembra una cosa remota e incredibile.;sg;_;_;juxtaposition/contact;modifier
50 su 50;yes;su;50;Fatta la prova di mercoledì, la domenica uscivano i risultati che dichiaravano che io avevo preso un punteggio di;50 su 50;!!!!! classificandomi primo insieme ad altri ventisette.;X;NumPNum;no;distractor;_
situazione a situazione;yes;a;situazione;Questo modellamento, però, non può che essere diversificato da;situazione a situazione;perché le istituzioni devono avere forme, figure e azioni adeguate a rapportarsi alle diverse realtà, in alcuni casi prolungandosi, in altre arretrando.;sg;PNPN;yes;distractor;_
Sky su Sky;yes;su;Sky;Cliente Sky via fibra/satellite con pack Calcio e Sky Go: 36,80 euro/mese* per le 7 partite/turno di;Sky su Sky;Go.;X;proper_name_inglobation;no;distractor;_
corpo a corpo;yes;a;corpo;In questa situazione i giornalisti portati al seguito delle truppe per assistere a un rapido trionfo, sono diventati scomodi testimoni di una campagna difficile e lunga, dove i combattimenti;corpo a corpo;nelle periferie delle città si verificano con una frequenza sempre più ravvicinata.;sg;_;_;juxtaposition/contact;modifier
soldi su soldi;no;su;soldi;E ora questi incapaci hanno il coraggio di chiedere;soldi su soldi;a chi le tasse le paga già fino all'ultimo centesimo.;pl;_;_;greater_plurality/accumulation;nominal
110 su 110;no;su;110;Luciano Fonzi esprime il seguente giudizio: Laureato in Scienze Biologiche presso la Università di Siena nel 1969 con;110 su 110;e lode.;X;NumPNum;no;distractor;_
